,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO PULL,REFER TO HUNTR
340,CVE-2021-4130,1,0,0,0,0,1
341,CVE-2021-3845,1,0,0,0,0,1
342,CVE-2021-4124,1,0,0,0,0,1
343,CVE-2021-4123,1,0,0,0,0,1
344,CVE-2021-4121,1,0,0,0,0,1
345,CVE-2021-4119,1,0,0,0,0,1
346,CVE-2021-4118,1,0,0,0,0,1
347,CVE-2021-4117,1,0,0,0,0,1
348,CVE-2021-4116,1,0,0,0,0,1
349,CVE-2021-4111,1,0,0,0,0,1
350,CVE-2021-3831,1,0,0,0,0,1
351,CVE-2021-4110,1,0,0,0,0,1
352,CVE-2021-4108,1,0,0,0,0,1
353,CVE-2021-4107,1,0,0,0,0,1
354,CVE-2021-3837,1,0,0,0,0,1
355,CVE-2021-4103,1,0,0,0,0,1
356,CVE-2021-4097,1,0,0,0,0,1
357,CVE-2021-4092,1,0,0,0,0,1
358,CVE-2021-3829,1,0,0,0,0,1
359,CVE-2021-4089,1,0,0,0,0,1
360,CVE-2021-4084,1,0,0,0,0,1
361,CVE-2021-4082,1,0,0,0,0,1
362,CVE-2021-4081,1,0,0,0,0,1
363,CVE-2021-4080,1,0,0,0,0,1
364,CVE-2021-3842,1,0,0,0,0,1
365,CVE-2021-4075,1,0,0,0,0,1
366,CVE-2021-43810,1,0,1,1,0,0
367,CVE-2021-4072,1,0,0,0,0,1
368,CVE-2021-4070,1,0,0,0,0,1
369,CVE-2021-4069,1,0,0,0,0,1
370,CVE-2021-4050,1,0,0,0,0,1
371,CVE-2021-4049,1,0,0,0,0,1
372,CVE-2021-3815,1,0,0,0,0,1
373,CVE-2021-4033,1,0,0,0,0,1
374,CVE-2021-3817,1,0,0,0,0,1
375,CVE-2021-4026,1,0,0,0,0,1
376,CVE-2021-4020,1,0,0,0,0,1
377,CVE-2021-4019,1,0,0,0,0,1
378,CVE-2021-4018,1,0,0,0,0,1
379,CVE-2021-4017,1,0,0,0,0,1
380,CVE-2021-4015,1,0,0,0,0,1
381,CVE-2021-4005,1,0,0,0,0,1
382,CVE-2021-4000,1,0,0,0,0,1
383,CVE-2021-3994,1,0,0,0,0,1
384,CVE-2021-3993,1,0,0,0,0,1
385,CVE-2021-3992,1,0,0,0,0,1
386,CVE-2021-3991,0,0,0,0,0,0
387,CVE-2021-3990,1,0,0,0,0,1
388,CVE-2021-3989,1,0,0,0,0,1
389,CVE-2021-3988,0,0,0,0,0,0
390,CVE-2021-3987,0,0,0,0,0,0
391,CVE-2021-3986,0,0,0,0,0,0
392,CVE-2021-3985,1,0,0,0,0,1
393,CVE-2021-3984,1,0,0,0,0,1
394,CVE-2021-3983,1,0,0,0,0,1
395,CVE-2021-3980,1,0,0,0,0,1
396,CVE-2021-3977,1,0,0,0,0,1
397,CVE-2021-3976,1,0,0,0,0,1
398,CVE-2021-3974,1,0,0,0,0,1
399,CVE-2021-3973,1,0,0,0,0,1
400,CVE-2021-3968,1,0,0,0,0,1
401,CVE-2021-3964,1,0,0,0,0,1
402,CVE-2021-3963,1,0,0,0,0,1
403,CVE-2021-3961,1,0,0,0,0,1
404,CVE-2021-3957,1,0,0,0,0,1
