,CVE ID,REFER TO COMMIT,REFER TO ISSUE,REFER TO RELEASE,REFER TO ADVISORY,REFER TO HUNTR
236,CVE-2021-37686,1,0,0,1,0
237,CVE-2021-37685,1,0,0,1,0
238,CVE-2021-37684,0,0,0,1,0
239,CVE-2021-37683,1,0,0,1,0
240,CVE-2021-37682,1,0,0,1,0
241,CVE-2021-37681,1,0,0,1,0
242,CVE-2021-37680,1,0,0,1,0
243,CVE-2021-37679,1,0,0,1,0
244,CVE-2021-37678,1,0,0,1,0
245,CVE-2021-37677,1,0,0,1,0
246,CVE-2021-37676,1,0,0,1,0
247,CVE-2021-37675,1,0,0,1,0
